 Barrio ; Total ;Sexo - Hombres;Sexo - Mujeres; Edad mediana 
     Total ;462.241;221.222;241.019;33
         Sajonia ;2.097;1.045;1.052;33
         San Antonio ;9.146;4.225;4.921;35
         Dr. Gaspar Rodriguez de Francia ;8.903;4.282;4.621;33
         Ita Pyt Punta ;2.708;1.255;1.453;35
         La Encarnacion ;3.712;1.721;1.991;35
         Tacumbu ;19.461;9.489;9.972;31
         Jukyty ;4.553;2.330;2.223;23
         La Catedral ;2.471;1.219;1.252;34
         General Jose Eduvigis Diaz ;5.092;2.294;2.798;36
         Obrero Intendente B. Guggiari ;17.055;7.946;9.109;34
         Roberto L. Petit ;14.452;8.716;5.736;33
         Ricardo Brugada ;13.153;6.571;6.582;27
         San Roque ;5.472;2.526;2.946;35
         Tte. Silvio Pettirossi ;7.782;3.708;4.074;34
         San Vicente ;15.449;7.155;8.294;35
         Pinoza ;6.504;3.029;3.475;35
         Vista Alegre ;12.168;5.664;6.504;36
         Mburicao ;5.603;2.519;3.084;38
         General Bernardino Caballero ;6.182;2.906;3.276;36
         Ciudad Nueva ;7.322;3.338;3.984;34
         Las Mercedes ;6.156;2.876;3.280;34
         Banado Cara Cara ;3.046;1.535;1.511;23
         Jara ;8.136;3.829;4.307;35
         Mariscal Francisco Solano Lopez ;3.685;1.585;2.100;39
         Virgen del Huerto ;3.857;1.767;2.090;38
         Banco San Miguel ;2.801;1.475;1.326;23
         San Cayetano ;11.926;6.021;5.905;27
         Republicano ;8.181;3.948;4.233;33
         Santa Ana ;6.356;3.153;3.203;26
         Ita Enramada ;5.802;2.888;2.914;30
         Santa Librada ;5.305;2.515;2.790;34
         San Juan ;2.796;1.348;1.448;30
         Presidente Carlos Antonio Lopez ;10.384;4.873;5.511;35
         Nazareth ;6.260;2.789;3.471;36
         Terminal ;3.690;1.736;1.954;34
         Hipodromo ;7.383;3.459;3.924;33
         San Pablo ;18.679;8.896;9.783;34
         Villa Aurelia ;8.399;3.919;4.480;36
         Los Laureles ;2.900;1.303;1.597;37
         Tembetary ;2.458;1.105;1.353;37
         Recoleta ;7.544;3.374;4.170;36
         Villa Morra ;2.782;1.262;1.520;38
         Mariscal Jose Felix Estigarribia ;6.524;2.923;3.601;36
         San Cristobal ;5.085;2.240;2.845;37
         Ykua Sati ;5.671;2.680;2.991;37
         Luis Alberto de Herrera ;4.925;2.237;2.688;35
         Santa Maria ;4.258;2.096;2.162;33
         Ytay ;2.977;1.412;1.565;33
         San Jorge ;5.045;2.313;2.732;36
         Tablada Nueva ;7.131;3.620;3.511;26
         Virgen de Fatima ;4.142;2.054;2.088;31
         Santa Rosa ;4.174;2.081;2.093;31
         Virgen de la Asuncion ;6.894;3.264;3.630;34
         Bella Vista ;6.812;3.325;3.487;34
         Santo Domingo ;1.722;744;978;39
         Canada del Yvyray ;3.324;1.473;1.851;38
         Santisima Trinidad ;3.803;1.753;2.050;35
         Manora ;1.320;581;739;39
         Las Lomas ;4.751;2.139;2.612;37
         Mburucuya ;8.209;3.785;4.424;36
         Madame Elisa Alicia Lynch ;7.652;3.525;4.127;36
         Salvador del Mundo ;2.670;1.248;1.422;36
         Mbocayaty ;5.359;2.522;2.837;34
         Loma Pyta ;16.072;7.816;8.256;33
         San Blas ;4.649;2.204;2.445;31
         Botanico ;13.105;6.646;6.459;26
         Zeballos Cue ;18.156;8.947;9.209;29
